Region,District,City,Address,Polling station number,Polling station code,Total number of voters,Number of voters who received a ballot,Number of voters who took part in the vote,Number of voters who took part in early voting,Number of voters who took part in the vote at the place of residence,Number of voters who took part in the vote on election day,Dmitriev,Konopackaya,Lukashenko,Tsikhanouskaya,Cherechen,Against all,Number of ballots declared invalid,Number of ballots received by the precinct commission,Number of spoiled ballots,Number of unused ballots
Гродненская,Дятловский,г.п. Новоельня,"г.п. Новоельня, ул. Снитко, 10 здание государственного учреждения образования «Новоельнянская средняя школа».",18,04-108-0018,1174,1102,1102,663,9,430,2,18,1018,22,1,41,,,,
Гродненская,Ивьевский,Ивье,"г. Ивье, ул. 1 Мая, д. 2, помещение государственного учреждения культуры «Ивьевский центр культуры и досуга",1,04-110-0001,1410,1460,1011,323,24,664,26,14,591,316,17,47,,,,
Гродненская,Ивьевский,Ивье,"г. Ивье, ул. 50 лет Октября, д. 25а, помещение государственного учреждения образования «Гимназия № 1 г. Ивье»",3,04-110-0003,1401,1088,1088,344,10,734,22,6,408,559,10,83,,,,
Гродненская,Ивьевский,д. Бакшты,"д. Бакшты, ул. Первомайская, д. 74, помещение отдела культурномассовой и просветительной работы д.Бакшты государственного учреждения культуры «Ивьевский центр культуры и досуга»",13,04-110-0013,688,653,653,218,148,287,10,9,382,229,4,19,,,,
Гродненская,Ивьевский,аг. Субботники,"аг. Субботники, ул. Первомайская, д. 57, помещение Субботникского сельского Совета",24,04-110-0024,715,690,690,371,83,236,0,4,658,15,3,10,,,,
Гродненская,Лидский,Лида,"Лида, ул.Притыцкого, д.12, общежитие Лидского городского  унитарного предприятия жилищно-коммунального хозяйства",3,04-112-0003,2236,2030,2030,770,36,1224,32,25,1152,718,29,74,,,,
Гродненская,Лидский,Лида,"Лида, ул.Пролыгина, д.5, государственное учреждение образования  «Средняя школа № 12 г.Лиды»",4,04-112-0004,2290,1958,1958,909,4,1045,66,15,1495,213,26,143,,,,
Гродненская,Лидский,Лида,"Лида, ул.Рыбиновского, д.20, общежитие Лидского городского  унитарного предприятия жилищно-коммунального хозяйства",6,04-112-0006,1850,1757,1757,781,15,961,24,18,914,681,31,89,,,,
Гродненская,Лидский,Лида,"Лида, ул.Красноармейская, д.20, общежитие открытого акционерного  общества «Строительно-монтажный трест №19»",7,04-112-0007,1609,1443,1443,630,37,776,2,6,746,603,8,78,,,,
Гродненская,Лидский,Лида,"Лида, ул.Рыбиновского, д.32, подростковый клуб «Дружба» жилищно-  эксплуатационной службы № 3 Лидского городского унитарного  предприятия жилищно-коммунального хозяйства",8,04-112-0008,2320,2311,2311,716,13,1582,28,24,1076,978,44,161,,,,
Гродненская,Лидский,Лида,"Лида, ул.Тухачевского, д.69, государственное учреждение образования  «Средняя школа № 15 г.Лиды»",11,04-112-0011,2846,2440,2440,672,8,1768,28,34,1408,792,42,117,19,2900,2,458
Гродненская,Лидский,Лида,"Лида, ул.Рыбиновского, д.76, государственное учреждение образования  «Средняя школа № 17 г.Лиды»",12,04-112-0012,2860,2092,2092,522,7,1563,49,25,772,1052,48,132,14,2900,0,808
Гродненская,Лидский,Лида,"Лида, ул.Рыбиновского, д.76, государственное учреждение образования  «Средняя школа № 17 г.Лиды»",13,04-112-0013,2762,1996,1996,364,14,1618,42,20,543,1211,42,86,0,2800,1,803
Гродненская,Лидский,Лида,"Лида, ул.Куйбышева, д.31, государственное учреждение образования  «Средняя школа № 6 г.Лиды»",15,04-112-0015,2182,1698,1698,752,72,874,9,99,1290,267,8,25,,,,
Гродненская,Лидский,Лида,"Лида, ул.Котляревского, д.16, зал заседаний водопроводно-  канализационного хозяйства Лидского городского унитарного  предприятия жилищно-коммунального хозяйства",16,04-112-0016,2467,1839,1839,731,21,1087,44,19,674,752,37,144,169,2500,1,660
Гродненская,Лидский,Лида,"Лида, ул.Тельмана, д.10, комната безопасности дорожного  движенияЛидского зонального узла электросвязи Гродненского филиала  республиканского унитарного предприятия «Белтелеком»",17,04-112-0017,1442,990,990,208,30,752,29,11,315,533,25,77,,,,
Гродненская,Лидский,Лида,"Лида, ул.Свердлова, д.120, государственное учреждение образования  «Средняя школа № 5 г.Лиды»",18,04-112-0018,1870,1192,1192,118,31,1043,23,14,228,825,21,81,,,,
Гродненская,Лидский,Лида,"Лида, ул.Черняховского, д.30, общежитие открытого акционерного  общества «Лидская обувная фабрика»",20,04-112-0020,1612,1228,1228,492,22,714,47,30,521,507,39,84,,,,
Гродненская,Лидский,Лида,"Лида, ул.Кирова, д. 18, государственное учреждение образования  «Средняя школа № 1 г.Лиды»",21,04-112-0021,1317,1070,1070,221,52,797,23,10,364,597,16,60,,,,
Гродненская,Лидский,Лида,"Лида, ул.Суворова, д.18, государственное учреждение образования  «Гимназия №1 г.Лиды»",22,04-112-0022,1608,1357,1355,438,37,880,18,9,605,601,22,100,,,,
Гродненская,Лидский,Лида,"Лида, ул.Мицкевича, д.22А, государственное учреждение образования  «Средняя школа № 4 г.Лиды»",24,04-112-0024,1319,1046,1040,409,22,615,21,12,499,428,17,55,8,1350,0,304
